Feature Tracker, متابعة الميزات,
Features, الميزات,
Add Feature Request, إضافة طلب ميزة جديد,
Feature Request, طلب الميزة,
Feature Requests, طلبات الميزات,
Feature Requests Roadmap, خريطة طريق طلبات الميزات,
High, عالي,
Medium, متوسط,
Low, منخفض,
Opened, مفتوح,
Pending, معلق,
In Progress, جاري العمل عليه,
Approved, مقبول,
Rejected, مرفوض,
Closed, مغلق,
Canceled, ملغى,
Title, العنوان,
Description, الوصف,
Status, الحالة,
Priority, الأولوية,
Date, التاريخ,
Opened Feature Request, طلب ميزة مفتوح,
Pending Feature Request, طلب ميزة معلق,
In Progress Feature Request, طلب ميزة جاري العمل عليه,
Approved Feature Request, طلب ميزة مقبول,
Rejected Feature Request, طلب ميزة مرفوض,
Closed Feature Request, طلب ميزة مغلق,
Canceled Feature Request, طلب ميزة ملغى,
Add New Feature Request, إضافة طلب ميزة جديد,
Go To Feature Requests Page, الذهاب إلى صفحة طلبات الميزات,
Not permitted to read Feature Request, غير مسموح بقراءة طلب الميزة,
Not permitted to create Feature Request, غير مسموح بإنشاء طلب الميزة,
Not permitted to update Feature Request {0}, غير مسموح بتحديث طلب الميزة {0},
Not permitted to delete Feature Request {0}, غير مسموح بحذف طلب الميزة {0},
Invalid filters format, تنسيق المرشحات غير صحيح,
Feature Request name is required, اسم طلب الميزة مطلوب,
Feature Request {0} does not exist, طلب الميزة {0} غير موجود,
Title is required, العنوان مطلوب,
Description is required, الوصف مطلوب,
Title cannot be empty, العنوان لا يمكن أن يكون فارغاً,
Description cannot be empty, الوصف لا يمكن أن يكون فارغاً,
Priority must be one of: {0}, الأولوية يجب أن تكون واحدة من: {0},
Status must be one of: {0}, الحالة يجب أن تكون واحدة من: {0},
Invalid date format. Use YYYY-MM-DD, تنسيق التاريخ غير صحيح. استخدم YYYY-MM-DD,
An error occurred while fetching feature requests, حدث خطأ أثناء جلب طلبات الميزات,
An error occurred while fetching the feature request, حدث خطأ أثناء جلب طلب الميزة,
An error occurred while creating the feature request, حدث خطأ أثناء إنشاء طلب الميزة,
An error occurred while updating the feature request, حدث خطأ أثناء تحديث طلب الميزة,
An error occurred while deleting the feature request, حدث خطأ أثناء حذف طلب الميزة,
An error occurred while fetching statistics, حدث خطأ أثناء جلب الإحصائيات,
